season_id,event_id,fetch_ok,away_accurate_passes,away_aerial_duels,away_aerial_duels_total,away_ball_possession,away_big_chances,away_big_chances_missed,away_big_chances_scored,away_big_saves,away_blocked_shots,away_clearances,away_corner_kicks,away_crosses,away_crosses_total,away_dispossessed,away_dribbles,away_dribbles_total,away_duels,away_errors_lead_to_a_goal,away_errors_lead_to_a_shot,away_expected_goals,away_final_third_entries,away_final_third_phase,away_final_third_phase_total,away_fouled_in_final_third,away_fouls,away_free_kicks,away_goal_kicks,away_goalkeeper_saves,away_goals_prevented,away_ground_duels,away_ground_duels_total,away_high_claims,away_hit_woodwork,away_interceptions,away_long_balls,away_long_balls_total,away_offsides,away_passes,away_penalty_saves,away_recoveries,away_red_cards,away_shots_inside_box,away_shots_off_target,away_shots_on_target,away_shots_outside_box,away_tackles,away_tackles_won,away_tackles_won_total,away_through_balls,away_throw_ins,away_total_saves,away_total_shots,away_total_shots__totalshotsongoal,away_total_tackles,away_touches_in_penalty_area,away_yellow_cards,home_accurate_passes,home_aerial_duels,home_aerial_duels_total,home_ball_possession,home_big_chances,home_big_chances_missed,home_big_chances_scored,home_big_saves,home_blocked_shots,home_clearances,home_corner_kicks,home_crosses,home_crosses_total,home_dispossessed,home_dribbles,home_dribbles_total,home_duels,home_errors_lead_to_a_goal,home_errors_lead_to_a_shot,home_expected_goals,home_final_third_entries,home_final_third_phase,home_final_third_phase_total,home_fouled_in_final_third,home_fouls,home_free_kicks,home_goal_kicks,home_goalkeeper_saves,home_goals_prevented,home_ground_duels,home_ground_duels_total,home_high_claims,home_hit_woodwork,home_interceptions,home_long_balls,home_long_balls_total,home_offsides,home_passes,home_penalty_saves,home_recoveries,home_red_cards,home_shots_inside_box,home_shots_off_target,home_shots_on_target,home_shots_outside_box,home_tackles,home_tackles_won,home_tackles_won_total,home_through_balls,home_throw_ins,home_total_saves,home_total_shots,home_total_shots__totalshotsongoal,home_total_tackles,home_touches_in_penalty_area,home_yellow_cards
59708,12246949,1,420,16,30,63,,,,,7,9,19,20,45,2,27,35,48,,3,1.76,,60,76,,13,2,7,4,,46,98,0,0,18,17,36,3,499,,,0,15,8,7,7,1,,,2,21,4,22,22,1,44,1,180,13,31,37,,,,,0,36,3,2,9,9,7,12,28,,2,1.27,,15,30,,5,3,12,7,,24,97,1,0,22,23,52,0,246,,,0,7,4,5,2,0,,,2,18,7,9,9,0,11,2
59708,12246950,1,521,8,15,48,,,,,6,15,7,7,19,5,16,20,43,,0,2.67,,56,65,,7,1,13,0,,45,106,,2,10,23,34,0,568,,,0,14,2,12,8,2,,,2,8,0,22,22,2,28,0,408,2,14,52,,,,,3,10,6,3,14,4,14,20,32,,3,0.17,,38,55,,16,2,6,8,,41,118,,0,8,23,40,0,458,,,0,3,4,0,4,2,,,0,18,8,7,7,2,8,3
59708,12246951,1,267,4,12,43,,,,,5,13,12,6,18,9,14,23,34,,4,1.28,,40,54,,10,3,10,3,,42,123,,0,19,10,24,0,331,,,0,11,4,4,2,3,,,0,18,3,13,13,3,25,0,343,8,13,57,,,,,0,21,4,5,19,11,18,24,45,,4,2.11,,39,48,,9,2,10,4,,51,118,,0,9,32,48,0,399,,,0,9,8,7,6,2,,,0,17,4,15,15,2,22,0
59708,12246953,1,340,12,25,41,,,,,2,13,5,3,10,13,9,12,30,,3,1.33,,29,48,,4,0,9,2,,25,95,0,0,13,27,53,2,409,,,0,3,2,2,3,4,,,2,23,2,6,6,4,11,0,519,11,26,59,,,,,5,11,7,8,21,6,20,24,42,,1,1.01,,63,85,,9,0,8,2,,40,94,1,0,17,29,50,1,581,,,0,8,5,3,5,4,,,3,15,2,13,13,4,20,1
59708,12246954,1,336,9,19,53,,,,,6,6,7,6,19,3,16,21,43,,5,3.15,,33,49,,5,2,9,2,,34,80,,1,9,37,54,1,405,,,1,10,3,6,6,0,,,4,28,2,16,16,0,17,0,275,5,19,47,,,,,6,21,6,8,14,4,15,17,34,,1,2.21,,24,46,,12,2,14,5,,29,80,,0,14,10,41,3,339,,,2,9,5,4,6,2,,,1,10,5,15,15,2,13,1
59708,12246955,1,388,6,16,58,,,,,2,10,3,8,16,3,24,29,35,,6,1.62,,40,57,,8,2,9,3,,32,92,0,1,14,29,52,0,448,,,0,9,3,6,3,1,,,4,16,3,12,12,1,18,0,329,8,19,42,,,,,7,13,6,5,15,3,13,15,29,,1,2.1,,33,50,,7,2,4,5,,26,96,1,2,9,26,40,0,385,,,1,5,3,4,11,4,,,0,16,5,16,16,4,12,1
59708,12246956,1,377,7,14,49,,,,,2,13,2,2,7,7,11,12,34,,2,2.32,,41,57,,6,1,10,6,,33,101,,0,26,26,40,0,451,,,0,5,5,6,8,5,,,3,17,6,13,13,5,12,0,419,4,11,51,,,,,3,4,13,6,26,7,11,12,31,,3,2.6,,55,76,,5,0,10,3,,33,106,,0,17,27,54,1,502,,,0,12,5,9,5,2,,,1,24,3,17,17,2,32,1
59708,12246958,1,330,7,15,43,,,,,1,15,2,3,5,3,7,10,33,,0,0.65,,36,51,,11,2,10,5,,32,103,,0,13,16,35,1,395,,,0,6,2,5,2,3,,,0,17,5,8,8,3,10,3,420,7,16,57,,,,,2,6,1,9,17,3,16,19,38,,1,1.71,,48,68,,13,0,4,4,,37,98,,0,13,23,49,1,482,,,1,8,3,6,3,4,,,1,19,4,11,11,4,17,5
59708,12246959,1,520,4,11,63,,,,,7,10,1,12,22,4,24,27,45,,1,4.08,,48,62,,11,5,4,3,,40,86,0,1,8,21,37,3,584,,,0,17,4,10,5,1,,,2,11,3,22,22,1,41,3,281,7,15,37,,,,,3,17,3,3,8,2,11,15,33,,7,1.25,,23,34,,11,3,10,5,,26,84,1,0,25,17,36,1,335,,,1,6,4,4,5,2,,,2,9,5,11,11,2,13,3
59708,12246960,1,254,11,32,41,,,,,0,24,0,3,8,2,11,17,30,,3,0.16,,18,46,,12,1,22,4,,28,95,2,0,19,28,66,3,339,,,0,2,1,2,1,1,,,1,22,4,3,3,1,4,3,479,17,27,59,,,,,7,16,6,8,28,1,23,31,46,,1,1.8,,58,75,,2,3,4,2,,42,100,0,2,18,29,56,5,570,,,0,10,9,3,11,1,,,0,17,2,21,21,1,31,1
